Episode 111, Reward:11.90, Noise:0.576, epsilon: 0.946, aloss:-4.795, closs: 0.090, time: 1.12
Episode 112, Reward:9.35, Noise:0.573, epsilon: 0.946, aloss:-4.654, closs: 0.119, time: 0.81
Episode 113, Reward:11.20, Noise:0.570, epsilon: 0.946, aloss:-4.764, closs: 0.088, time: 1.11
Episode 114, Reward:11.85, Noise:0.568, epsilon: 0.945, aloss:-4.762, closs: 0.103, time: 1.10
Episode 115, Reward:5.55, Noise:0.565, epsilon: 0.945, aloss:-4.864, closs: 0.097, time: 0.56
Episode 116, Reward:1.35, Noise:0.562, epsilon: 0.944, aloss:-4.860, closs: 0.090, time: 0.18
Episode 117, Reward:11.20, Noise:0.559, epsilon: 0.944, aloss:-4.713, closs: 0.113, time: 0.97
Episode 118, Reward:12.85, Noise:0.556, epsilon: 0.943, aloss:-4.557, closs: 0.104, time: 1.15
Episode 119, Reward:12.40, Noise:0.554, epsilon: 0.943, aloss:-4.574, closs: 0.104, time: 1.25
Episode 120, Reward:1.40, Noise:0.551, epsilon: 0.942, aloss:-4.513, closs: 0.105, time: 0.11
Episode 121, Reward:0.75, Noise:0.548, epsilon: 0.942, aloss:-4.510, closs: 0.109, time: 0.07
Episode 122, Reward:12.70, Noise:0.545, epsilon: 0.941, aloss:-4.593, closs: 0.102, time: 1.17
Episode 123, Reward:10.35, Noise:0.543, epsilon: 0.941, aloss:-4.606, closs: 0.104, time: 0.88
Episode 124, Reward:2.85, Noise:0.540, epsilon: 0.940, aloss:-4.590, closs: 0.100, time: 0.23
Episode 125, Reward:11.55, Noise:0.537, epsilon: 0.940, aloss:-4.667, closs: 0.105, time: 1.14
Episode 126, Reward:12.90, Noise:0.534, epsilon: 0.939, aloss:-4.719, closs: 0.095, time: 1.14
Episode 127, Reward:5.30, Noise:0.532, epsilon: 0.939, aloss:-4.762, closs: 0.098, time: 0.45
Episode 128, Reward:13.00, Noise:0.529, epsilon: 0.938, aloss:-4.697, closs: 0.103, time: 1.12
Episode 129, Reward:13.00, Noise:0.526, epsilon: 0.938, aloss:-4.648, closs: 0.096, time: 1.13
Episode 130, Reward:13.00, Noise:0.524, epsilon: 0.938, aloss:-4.616, closs: 0.112, time: 1.13
Episode 131, Reward:2.05, Noise:0.521, epsilon: 0.937, aloss:-4.525, closs: 0.104, time: 0.18
Episode 132, Reward:2.25, Noise:0.519, epsilon: 0.937, aloss:-4.547, closs: 0.101, time: 0.20
Episode 133, Reward:0.50, Noise:0.516, epsilon: 0.936, aloss:-4.523, closs: 0.118, time: 0.05
Episode 134, Reward:12.65, Noise:0.513, epsilon: 0.936, aloss:-4.584, closs: 0.098, time: 1.13
Episode 135, Reward:0.80, Noise:0.511, epsilon: 0.935, aloss:-4.627, closs: 0.123, time: 0.06
Episode 136, Reward:6.00, Noise:0.508, epsilon: 0.935, aloss:-4.632, closs: 0.111, time: 0.58
Episode 137, Reward:11.55, Noise:0.506, epsilon: 0.934, aloss:-4.630, closs: 0.092, time: 1.13
Episode 138, Reward:11.90, Noise:0.503, epsilon: 0.934, aloss:-4.593, closs: 0.111, time: 1.14
Episode 139, Reward:10.95, Noise:0.501, epsilon: 0.933, aloss:-4.490, closs: 0.100, time: 1.16
Episode 140, Reward:0.85, Noise:0.498, epsilon: 0.933, aloss:-4.577, closs: 0.145, time: 0.08
Episode 141, Reward:5.25, Noise:0.496, epsilon: 0.932, aloss:-4.476, closs: 0.103, time: 0.49
Episode 142, Reward:12.35, Noise:0.493, epsilon: 0.932, aloss:-4.614, closs: 0.099, time: 1.13
Episode 143, Reward:0.45, Noise:0.491, epsilon: 0.931, aloss:-4.602, closs: 0.111, time: 0.05
Episode 144, Reward:7.35, Noise:0.488, epsilon: 0.931, aloss:-4.578, closs: 0.103, time: 0.78
Episode 145, Reward:8.00, Noise:0.486, epsilon: 0.931, aloss:-4.603, closs: 0.096, time: 0.71
Episode 146, Reward:5.70, Noise:0.483, epsilon: 0.930, aloss:-4.556, closs: 0.121, time: 0.58
Episode 147, Reward:4.85, Noise:0.481, epsilon: 0.930, aloss:-4.505, closs: 0.103, time: 0.52
Episode 148, Reward:10.25, Noise:0.479, epsilon: 0.929, aloss:-4.458, closs: 0.107, time: 0.99
Episode 149, Reward:9.50, Noise:0.476, epsilon: 0.929, aloss:-4.601, closs: 0.094, time: 0.90
Episode 150, Reward:11.30, Noise:0.474, epsilon: 0.928, aloss:-4.557, closs: 0.106, time: 1.13
Episode 151, Reward:12.10, Noise:0.471, epsilon: 0.928, aloss:-4.577, closs: 0.090, time: 1.13
Episode 152, Reward:4.20, Noise:0.469, epsilon: 0.927, aloss:-4.719, closs: 0.108, time: 0.40
Episode 153, Reward:2.75, Noise:0.467, epsilon: 0.927, aloss:-4.674, closs: 0.107, time: 0.25
Episode 154, Reward:0.80, Noise:0.464, epsilon: 0.926, aloss:-4.615, closs: 0.162, time: 0.08
Episode 155, Reward:7.25, Noise:0.462, epsilon: 0.926, aloss:-4.511, closs: 0.102, time: 0.71
Episode 156, Reward:11.85, Noise:0.460, epsilon: 0.925, aloss:-4.562, closs: 0.101, time: 1.14
Episode 157, Reward:0.95, Noise:0.458, epsilon: 0.925, aloss:-4.563, closs: 0.126, time: 0.10
Episode 158, Reward:12.00, Noise:0.455, epsilon: 0.924, aloss:-4.480, closs: 0.107, time: 1.14
Episode 159, Reward:3.80, Noise:0.453, epsilon: 0.924, aloss:-4.477, closs: 0.091, time: 0.36
Episode 160, Reward:11.75, Noise:0.451, epsilon: 0.924, aloss:-4.552, closs: 0.101, time: 1.14
Episode 161, Reward:12.40, Noise:0.448, epsilon: 0.923, aloss:-4.530, closs: 0.107, time: 1.20
Episode 162, Reward:1.60, Noise:0.446, epsilon: 0.923, aloss:-4.467, closs: 0.080, time: 0.18
Episode 163, Reward:11.35, Noise:0.444, epsilon: 0.922, aloss:-4.527, closs: 0.102, time: 1.14
Episode 164, Reward:8.50, Noise:0.442, epsilon: 0.922, aloss:-4.575, closs: 0.092, time: 0.85
Episode 165, Reward:12.10, Noise:0.440, epsilon: 0.921, aloss:-4.573, closs: 0.102, time: 1.14
Episode 166, Reward:5.30, Noise:0.437, epsilon: 0.921, aloss:-4.482, closs: 0.108, time: 0.54
Episode 167, Reward:12.00, Noise:0.435, epsilon: 0.920, aloss:-4.410, closs: 0.105, time: 1.08
Episode 168, Reward:0.60, Noise:0.433, epsilon: 0.920, aloss:-4.417, closs: 0.145, time: 0.06
Episode 169, Reward:0.70, Noise:0.431, epsilon: 0.919, aloss:-4.422, closs: 0.092, time: 0.08
Episode 170, Reward:3.30, Noise:0.429, epsilon: 0.919, aloss:-4.361, closs: 0.119, time: 0.29
Episode 171, Reward:1.20, Noise:0.427, epsilon: 0.918, aloss:-4.342, closs: 0.080, time: 0.13
Episode 172, Reward:2.45, Noise:0.424, epsilon: 0.918, aloss:-4.341, closs: 0.128, time: 0.26
Episode 173, Reward:7.15, Noise:0.422, epsilon: 0.918, aloss:-4.304, closs: 0.096, time: 0.72
Episode 174, Reward:3.05, Noise:0.420, epsilon: 0.917, aloss:-4.404, closs: 0.100, time: 0.28
Episode 175, Reward:4.80, Noise:0.418, epsilon: 0.917, aloss:-4.456, closs: 0.089, time: 0.44
Episode 176, Reward:6.60, Noise:0.416, epsilon: 0.916, aloss:-4.517, closs: 0.100, time: 0.65
Episode 177, Reward:8.35, Noise:0.414, epsilon: 0.916, aloss:-4.453, closs: 0.107, time: 0.80
Episode 178, Reward:8.80, Noise:0.412, epsilon: 0.915, aloss:-4.374, closs: 0.105, time: 0.82
Episode 179, Reward:11.65, Noise:0.410, epsilon: 0.915, aloss:-4.373, closs: 0.100, time: 1.14
Episode 180, Reward:2.55, Noise:0.408, epsilon: 0.914, aloss:-4.387, closs: 0.134, time: 0.25
Episode 181, Reward:9.40, Noise:0.406, epsilon: 0.914, aloss:-4.329, closs: 0.099, time: 0.95
Episode 182, Reward:0.80, Noise:0.404, epsilon: 0.913, aloss:-4.414, closs: 0.133, time: 0.07
Episode 183, Reward:4.65, Noise:0.402, epsilon: 0.913, aloss:-4.415, closs: 0.092, time: 0.42
Episode 184, Reward:10.90, Noise:0.400, epsilon: 0.913, aloss:-4.368, closs: 0.107, time: 1.12
Episode 185, Reward:1.30, Noise:0.398, epsilon: 0.912, aloss:-4.344, closs: 0.123, time: 0.13
Episode 186, Reward:2.65, Noise:0.396, epsilon: 0.912, aloss:-4.310, closs: 0.104, time: 0.26
Episode 187, Reward:0.20, Noise:0.394, epsilon: 0.911, aloss:-4.311, closs: 0.045, time: 0.01
Episode 188, Reward:7.00, Noise:0.392, epsilon: 0.911, aloss:-4.337, closs: 0.100, time: 0.70
Episode 189, Reward:1.55, Noise:0.390, epsilon: 0.910, aloss:-4.390, closs: 0.105, time: 0.14
Episode 190, Reward:11.35, Noise:0.388, epsilon: 0.910, aloss:-4.417, closs: 0.098, time: 1.12
Episode 191, Reward:8.80, Noise:0.386, epsilon: 0.909, aloss:-4.355, closs: 0.105, time: 0.92
Episode 192, Reward:0.75, Noise:0.384, epsilon: 0.909, aloss:-4.359, closs: 0.107, time: 0.10
Episode 193, Reward:1.95, Noise:0.382, epsilon: 0.908, aloss:-4.355, closs: 0.100, time: 0.20
Episode 194, Reward:11.15, Noise:0.380, epsilon: 0.908, aloss:-4.343, closs: 0.107, time: 1.11
Episode 195, Reward:12.00, Noise:0.378, epsilon: 0.908, aloss:-4.371, closs: 0.097, time: 1.13
Episode 196, Reward:11.50, Noise:0.376, epsilon: 0.907, aloss:-4.289, closs: 0.110, time: 1.06
Episode 197, Reward:10.95, Noise:0.374, epsilon: 0.907, aloss:-4.273, closs: 0.109, time: 1.11
Episode 198, Reward:7.20, Noise:0.373, epsilon: 0.906, aloss:-4.224, closs: 0.097, time: 0.70
Episode 199, Reward:11.60, Noise:0.371, epsilon: 0.906, aloss:-4.270, closs: 0.104, time: 1.16
Episode 200, Reward:11.25, Noise:0.369, epsilon: 0.905, aloss:-4.255, closs: 0.103, time: 1.14
Episode 201, Reward:1.45, Noise:0.367, epsilon: 0.905, aloss:-4.235, closs: 0.112, time: 0.15
Episode 202, Reward:3.90, Noise:0.365, epsilon: 0.904, aloss:-4.289, closs: 0.098, time: 0.35
Episode 203, Reward:11.05, Noise:0.363, epsilon: 0.904, aloss:-4.253, closs: 0.107, time: 1.18
Episode 204, Reward:12.30, Noise:0.361, epsilon: 0.903, aloss:-4.300, closs: 0.101, time: 1.15
Episode 205, Reward:10.60, Noise:0.360, epsilon: 0.903, aloss:-4.274, closs: 0.101, time: 1.16
Episode 206, Reward:3.35, Noise:0.358, epsilon: 0.903, aloss:-4.298, closs: 0.107, time: 0.37
Episode 207, Reward:0.90, Noise:0.356, epsilon: 0.902, aloss:-4.311, closs: 0.092, time: 0.10
Episode 208, Reward:1.95, Noise:0.354, epsilon: 0.902, aloss:-4.307, closs: 0.127, time: 0.18
Episode 209, Reward:11.55, Noise:0.353, epsilon: 0.901, aloss:-4.271, closs: 0.102, time: 1.16
Episode 210, Reward:3.20, Noise:0.351, epsilon: 0.901, aloss:-4.249, closs: 0.098, time: 0.34
Episode 211, Reward:6.70, Noise:0.349, epsilon: 0.900, aloss:-4.310, closs: 0.100, time: 0.62
Episode 212, Reward:3.95, Noise:0.347, epsilon: 0.900, aloss:-4.323, closs: 0.100, time: 0.40
Episode 213, Reward:12.00, Noise:0.346, epsilon: 0.899, aloss:-4.323, closs: 0.100, time: 1.14
Episode 214, Reward:11.35, Noise:0.344, epsilon: 0.899, aloss:-4.335, closs: 0.103, time: 1.15
Episode 215, Reward:12.05, Noise:0.342, epsilon: 0.899, aloss:-4.388, closs: 0.097, time: 1.15
Episode 216, Reward:1.90, Noise:0.340, epsilon: 0.898, aloss:-4.393, closs: 0.085, time: 0.20
Episode 217, Reward:11.30, Noise:0.339, epsilon: 0.898, aloss:-4.324, closs: 0.111, time: 1.17
Episode 218, Reward:11.55, Noise:0.337, epsilon: 0.897, aloss:-4.283, closs: 0.103, time: 1.14
Episode 219, Reward:3.90, Noise:0.335, epsilon: 0.897, aloss:-4.273, closs: 0.094, time: 0.39
Episode 220, Reward:4.05, Noise:0.334, epsilon: 0.896, aloss:-4.311, closs: 0.094, time: 0.38
Episode 221, Reward:11.70, Noise:0.332, epsilon: 0.896, aloss:-4.259, closs: 0.103, time: 1.16
Episode 222, Reward:6.05, Noise:0.330, epsilon: 0.895, aloss:-4.290, closs: 0.108, time: 0.71
Episode 223, Reward:6.35, Noise:0.329, epsilon: 0.895, aloss:-4.246, closs: 0.105, time: 0.64
Episode 224, Reward:0.65, Noise:0.327, epsilon: 0.894, aloss:-4.232, closs: 0.098, time: 0.08
Episode 225, Reward:4.65, Noise:0.325, epsilon: 0.894, aloss:-4.244, closs: 0.100, time: 0.47
