Episode 130, Reward:11.60, Noise:0.273, epsilon: 0.938, aloss:-4.506, closs: 0.067, time: 1.16
Episode 131, Reward:11.60, Noise:0.271, epsilon: 0.937, aloss:-4.537, closs: 0.069, time: 1.15
Episode 132, Reward:2.20, Noise:0.268, epsilon: 0.937, aloss:-4.594, closs: 0.063, time: 0.29
Episode 133, Reward:11.05, Noise:0.265, epsilon: 0.936, aloss:-4.626, closs: 0.069, time: 1.22
Episode 134, Reward:11.05, Noise:0.263, epsilon: 0.936, aloss:-4.573, closs: 0.075, time: 1.13
Episode 135, Reward:11.10, Noise:0.260, epsilon: 0.935, aloss:-4.581, closs: 0.066, time: 1.14
Episode 136, Reward:0.65, Noise:0.257, epsilon: 0.935, aloss:-4.585, closs: 0.082, time: 0.06
Episode 137, Reward:11.25, Noise:0.255, epsilon: 0.934, aloss:-4.552, closs: 0.074, time: 1.16
Episode 138, Reward:11.45, Noise:0.252, epsilon: 0.934, aloss:-4.548, closs: 0.072, time: 1.14
Episode 139, Reward:11.55, Noise:0.250, epsilon: 0.933, aloss:-4.624, closs: 0.060, time: 1.14
Episode 140, Reward:9.70, Noise:0.247, epsilon: 0.933, aloss:-4.632, closs: 0.071, time: 1.13
Episode 141, Reward:11.15, Noise:0.245, epsilon: 0.932, aloss:-4.616, closs: 0.070, time: 1.14
Episode 142, Reward:10.75, Noise:0.242, epsilon: 0.932, aloss:-4.570, closs: 0.080, time: 1.13
Episode 143, Reward:11.15, Noise:0.240, epsilon: 0.931, aloss:-4.560, closs: 0.069, time: 1.15
Episode 144, Reward:2.45, Noise:0.238, epsilon: 0.931, aloss:-4.554, closs: 0.080, time: 0.27
Episode 145, Reward:11.10, Noise:0.235, epsilon: 0.931, aloss:-4.558, closs: 0.068, time: 1.14
Episode 146, Reward:11.20, Noise:0.233, epsilon: 0.930, aloss:-4.592, closs: 0.070, time: 1.14
Episode 147, Reward:10.50, Noise:0.231, epsilon: 0.930, aloss:-4.591, closs: 0.074, time: 1.15
Episode 148, Reward:11.20, Noise:0.228, epsilon: 0.929, aloss:-4.574, closs: 0.067, time: 1.15
Episode 149, Reward:8.80, Noise:0.226, epsilon: 0.929, aloss:-4.615, closs: 0.063, time: 0.90
