Episode 126, Reward:177.05, Noise:0.779, epsilon: 0.939, aloss:-146.508, closs: 60.442, time: 0.59
Episode 127, Reward:358.53, Noise:0.777, epsilon: 0.939, aloss:-144.957, closs: 65.823, time: 1.32
Episode 128, Reward:213.87, Noise:0.775, epsilon: 0.938, aloss:-147.303, closs: 52.545, time: 0.77
Episode 129, Reward:344.67, Noise:0.774, epsilon: 0.938, aloss:-148.430, closs: 61.299, time: 1.34
Episode 130, Reward:116.04, Noise:0.772, epsilon: 0.938, aloss:-148.133, closs: 61.191, time: 0.44
Episode 131, Reward:355.85, Noise:0.771, epsilon: 0.937, aloss:-149.442, closs: 59.720, time: 1.23
Episode 132, Reward:182.77, Noise:0.769, epsilon: 0.937, aloss:-150.712, closs: 55.762, time: 0.67
Episode 133, Reward:360.27, Noise:0.768, epsilon: 0.936, aloss:-149.780, closs: 68.812, time: 1.34
Episode 134, Reward:348.22, Noise:0.766, epsilon: 0.936, aloss:-150.051, closs: 56.051, time: 1.34
Episode 135, Reward:126.40, Noise:0.765, epsilon: 0.935, aloss:-149.388, closs: 66.596, time: 0.46
Episode 136, Reward:359.83, Noise:0.763, epsilon: 0.935, aloss:-149.261, closs: 60.942, time: 1.31
Episode 137, Reward:348.23, Noise:0.762, epsilon: 0.934, aloss:-148.678, closs: 71.638, time: 1.33
Episode 138, Reward:351.91, Noise:0.760, epsilon: 0.934, aloss:-147.016, closs: 61.009, time: 1.31
Episode 139, Reward:357.19, Noise:0.759, epsilon: 0.933, aloss:-150.424, closs: 53.689, time: 1.20
Episode 140, Reward:349.79, Noise:0.757, epsilon: 0.933, aloss:-151.751, closs: 58.975, time: 1.23
Episode 141, Reward:366.25, Noise:0.756, epsilon: 0.932, aloss:-149.861, closs: 62.709, time: 1.31
Episode 142, Reward:361.92, Noise:0.754, epsilon: 0.932, aloss:-149.021, closs: 55.277, time: 1.26
Episode 143, Reward:356.47, Noise:0.753, epsilon: 0.931, aloss:-148.409, closs: 68.170, time: 1.23
Episode 144, Reward:147.32, Noise:0.751, epsilon: 0.931, aloss:-147.233, closs: 65.194, time: 0.47
Episode 145, Reward:364.53, Noise:0.750, epsilon: 0.931, aloss:-148.132, closs: 57.792, time: 1.23
Episode 146, Reward:358.93, Noise:0.748, epsilon: 0.930, aloss:-149.037, closs: 59.132, time: 1.38
Episode 147, Reward:360.60, Noise:0.747, epsilon: 0.930, aloss:-146.783, closs: 75.175, time: 1.34
Episode 148, Reward:327.27, Noise:0.745, epsilon: 0.929, aloss:-145.950, closs: 58.038, time: 1.23
Episode 149, Reward:127.07, Noise:0.744, epsilon: 0.929, aloss:-145.777, closs: 71.306, time: 0.42
