Episode 164, Reward:8.95, Noise:0.442, epsilon: 0.922, aloss:-4.859, closs: 0.093, time: 0.93
Episode 165, Reward:11.40, Noise:0.440, epsilon: 0.921, aloss:-4.773, closs: 0.088, time: 1.16
Episode 166, Reward:10.30, Noise:0.437, epsilon: 0.921, aloss:-4.682, closs: 0.097, time: 1.02
Episode 167, Reward:1.20, Noise:0.435, epsilon: 0.920, aloss:-4.603, closs: 0.077, time: 0.12
Episode 168, Reward:0.65, Noise:0.433, epsilon: 0.920, aloss:-4.634, closs: 0.074, time: 0.08
Episode 169, Reward:11.55, Noise:0.431, epsilon: 0.919, aloss:-4.720, closs: 0.083, time: 1.15
Episode 170, Reward:5.95, Noise:0.429, epsilon: 0.919, aloss:-4.807, closs: 0.088, time: 0.58
Episode 171, Reward:1.15, Noise:0.427, epsilon: 0.918, aloss:-4.737, closs: 0.090, time: 0.12
Episode 172, Reward:4.15, Noise:0.424, epsilon: 0.918, aloss:-4.835, closs: 0.065, time: 0.45
Episode 173, Reward:6.25, Noise:0.422, epsilon: 0.918, aloss:-4.859, closs: 0.088, time: 0.63
Episode 174, Reward:3.20, Noise:0.420, epsilon: 0.917, aloss:-4.798, closs: 0.101, time: 0.32
Episode 175, Reward:4.20, Noise:0.418, epsilon: 0.917, aloss:-4.762, closs: 0.095, time: 0.42
Episode 176, Reward:2.30, Noise:0.416, epsilon: 0.916, aloss:-4.723, closs: 0.083, time: 0.25
Episode 177, Reward:12.05, Noise:0.414, epsilon: 0.916, aloss:-4.737, closs: 0.089, time: 1.15
Episode 178, Reward:8.60, Noise:0.412, epsilon: 0.915, aloss:-4.775, closs: 0.089, time: 0.77
Episode 179, Reward:5.90, Noise:0.410, epsilon: 0.915, aloss:-4.715, closs: 0.084, time: 0.59
Episode 180, Reward:11.80, Noise:0.408, epsilon: 0.914, aloss:-4.660, closs: 0.096, time: 1.13
Episode 181, Reward:11.15, Noise:0.406, epsilon: 0.914, aloss:-4.617, closs: 0.095, time: 1.14
Episode 182, Reward:10.80, Noise:0.404, epsilon: 0.913, aloss:-4.683, closs: 0.081, time: 1.12
Episode 183, Reward:9.55, Noise:0.402, epsilon: 0.913, aloss:-4.816, closs: 0.082, time: 0.98
Episode 184, Reward:10.55, Noise:0.400, epsilon: 0.913, aloss:-4.755, closs: 0.092, time: 0.99
Episode 185, Reward:11.50, Noise:0.398, epsilon: 0.912, aloss:-4.819, closs: 0.072, time: 1.13
Episode 186, Reward:2.30, Noise:0.396, epsilon: 0.912, aloss:-4.904, closs: 0.093, time: 0.25
Episode 187, Reward:11.70, Noise:0.394, epsilon: 0.911, aloss:-4.802, closs: 0.088, time: 1.14
Episode 188, Reward:12.35, Noise:0.392, epsilon: 0.911, aloss:-4.636, closs: 0.101, time: 1.14
Episode 189, Reward:10.90, Noise:0.390, epsilon: 0.910, aloss:-4.568, closs: 0.082, time: 1.14
Episode 190, Reward:12.25, Noise:0.388, epsilon: 0.910, aloss:-4.666, closs: 0.090, time: 1.15
Episode 191, Reward:3.10, Noise:0.386, epsilon: 0.909, aloss:-4.692, closs: 0.071, time: 0.27
Episode 192, Reward:8.20, Noise:0.384, epsilon: 0.909, aloss:-4.718, closs: 0.090, time: 0.78
Episode 193, Reward:11.65, Noise:0.382, epsilon: 0.908, aloss:-4.676, closs: 0.092, time: 1.13
Episode 194, Reward:2.75, Noise:0.380, epsilon: 0.908, aloss:-4.612, closs: 0.084, time: 0.27
Episode 195, Reward:8.65, Noise:0.378, epsilon: 0.908, aloss:-4.662, closs: 0.081, time: 0.85
Episode 196, Reward:10.80, Noise:0.376, epsilon: 0.907, aloss:-4.718, closs: 0.087, time: 1.16
