Episode 123, Reward:10.75, Noise:0.543, epsilon: 0.941, aloss:-3.012, closs: 0.059, time: 1.15
Episode 124, Reward:8.85, Noise:0.540, epsilon: 0.940, aloss:-3.128, closs: 0.054, time: 1.14
Episode 125, Reward:10.00, Noise:0.537, epsilon: 0.940, aloss:-3.226, closs: 0.053, time: 1.15
Episode 126, Reward:9.75, Noise:0.534, epsilon: 0.939, aloss:-3.187, closs: 0.058, time: 1.13
Episode 127, Reward:1.05, Noise:0.532, epsilon: 0.939, aloss:-3.196, closs: 0.061, time: 0.13
Episode 128, Reward:9.30, Noise:0.529, epsilon: 0.938, aloss:-3.118, closs: 0.058, time: 1.16
Episode 129, Reward:10.30, Noise:0.526, epsilon: 0.938, aloss:-3.194, closs: 0.056, time: 1.14
Episode 130, Reward:9.60, Noise:0.524, epsilon: 0.938, aloss:-3.092, closs: 0.060, time: 1.13
Episode 131, Reward:11.25, Noise:0.521, epsilon: 0.937, aloss:-3.196, closs: 0.053, time: 1.14
Episode 132, Reward:9.85, Noise:0.519, epsilon: 0.937, aloss:-3.186, closs: 0.060, time: 1.19
Episode 133, Reward:1.50, Noise:0.516, epsilon: 0.936, aloss:-3.187, closs: 0.052, time: 0.25
Episode 134, Reward:0.45, Noise:0.513, epsilon: 0.936, aloss:-3.195, closs: 0.047, time: 0.05
Episode 135, Reward:9.60, Noise:0.511, epsilon: 0.935, aloss:-3.158, closs: 0.058, time: 1.13
Episode 136, Reward:9.45, Noise:0.508, epsilon: 0.935, aloss:-3.159, closs: 0.056, time: 1.13
Episode 137, Reward:6.45, Noise:0.506, epsilon: 0.934, aloss:-3.311, closs: 0.057, time: 0.71
Episode 138, Reward:9.25, Noise:0.503, epsilon: 0.934, aloss:-3.205, closs: 0.058, time: 1.12
Episode 139, Reward:10.75, Noise:0.501, epsilon: 0.933, aloss:-3.271, closs: 0.054, time: 1.14
Episode 140, Reward:10.10, Noise:0.498, epsilon: 0.933, aloss:-3.234, closs: 0.058, time: 1.13
Episode 141, Reward:9.85, Noise:0.496, epsilon: 0.932, aloss:-3.179, closs: 0.057, time: 1.12
Episode 142, Reward:6.15, Noise:0.493, epsilon: 0.932, aloss:-3.176, closs: 0.062, time: 0.68
Episode 143, Reward:10.30, Noise:0.491, epsilon: 0.931, aloss:-3.197, closs: 0.055, time: 1.12
Episode 144, Reward:9.65, Noise:0.488, epsilon: 0.931, aloss:-3.198, closs: 0.059, time: 1.13
Episode 145, Reward:10.30, Noise:0.486, epsilon: 0.931, aloss:-3.186, closs: 0.057, time: 1.14
Episode 146, Reward:2.00, Noise:0.483, epsilon: 0.930, aloss:-3.236, closs: 0.062, time: 0.24
